"page_url","country_name","glide_id","dataset_date","page_name","title","img_url","url_1","url_2","url_3","url_4","url_5","url_6","n_product_links","notes","url_2_format","url_3_format","url_4_format","url_5_format","url_6_format","dataset_name","license_title","author","author_email","maintainer","maintainer_email","package_creator","private","methodology_other","caveats","license_other","methodology","dataset_source","license_id","owner_org","group_id","tag","tag_1","tag_2","tag_3","tag_4","file_name_1","file_name_2","file_name_3","file_name_4","file_name_5","file_name_6"
"http://www.unitar.org/unosat/node/44/1096","Bolivia","FL-2007-000231-BOL","2008-02-18","Versión actualizada: Inundaciones en Trinidad, Departamento del Beni (14 Feb. 2008), Bolivia","Geodata of Versión actualizada: Inundaciones en Trinidad, Departamento del Beni (14 Feb. 2008), Bolivia","http://maps.unosat.org/BO/2008/spanish_versions/UNOSAT_Trinidad_Urban_Flood_Map_TerraSARX_14Feb08_sp_Highres_v1_icon.jpg","http://www.disasterscharter.org/home","http://maps.unosat.org/BO/2008/spanish_versions/UNOSAT_Trinidad_Urban_Flood_Map_TerraSARX_14Feb08_sp_Highres_v1.pdf","http://maps.unosat.org/BO/2008/spanish_versions/UNOSAT_Trinidad_Urban_Flood_Map_TerraSARX_14Feb08_sp_Highres_v1.kml",NA,NA,NA,3,"Este mapa ilustra las inundaciones detectadas por satélite en la zona urbana de Trinidad, capital departamental del Beni. El análisis de inundaciones fue realizado mediante una sola escena TerraSAR-X captada el 14 febrero 2008. Escenas RADARSAT captadas el 8 de febrero 2008 y 5 de abril 2001 también han sido utilizadas. Es un análisis preliminar aun no validado en el terreno. Escala del mapa para A3: 1:20,000. Proyección: UTM Zona 20 Sur. Datum: WGS 1984",NA,"KML",NA,NA,NA,"geodata-of-versión-actualizada-inundaciones-en-trinidad-departamento-del-beni-14-feb-2008-bolivia","hdx-other","unosat","emergencymapping@unosat.org","unosat","emergencymapping@unosat.org","unosat",TRUE,NA,NA,NA,"Other","UNOSAT","hdx-other","un-operational-satellite-appplications-programme-unosat","bol","Munitions Depot Explosion","FL-2007-000231-BOL","geodata","shapefiles","geodatabase","home","UNOSAT_Trinidad_Urban_Flood_Map_TerraSARX_14Feb08_sp_Highres_v1.pdf","UNOSAT_Trinidad_Urban_Flood_Map_TerraSARX_14Feb08_sp_Highres_v1.kml",NA,NA,NA
"http://www.unitar.org/unosat/node/44/159","Morocco","Other","2004-03-08","Poster size pre-disaster map of Al Hoceima region","Geodata of Poster size pre-disaster map of Al Hoceima region",NA,"http://www.disasterscharter.org/home","http://maps.unosat.org/MA/morocco_charter_spot5_overview_pre-disaster_A1.zip",NA,NA,NA,NA,2,"A1 poster size pre-disaster map of Al Hoceima region derived from SPOT 5 satellite image acquired 13 September 2002. File to download is Zip-compressed .TIF file for quality poster size printouts.","ZIP",NA,NA,NA,NA,"geodata-of-poster-size-pre-disaster-map-of-al-hoceima-region","hdx-other","unosat","emergencymapping@unosat.org","unosat","emergencymapping@unosat.org","unosat",TRUE,NA,NA,NA,"Other","UNOSAT","hdx-other","un-operational-satellite-appplications-programme-unosat","mar","Complex Emergency","Other","geodata","shapefiles","geodatabase","home","morocco_charter_spot5_overview_pre-disaster_A1.zip",NA,NA,NA,NA
"http://www.unitar.org/unosat/node/44/160","Morocco","Other","2004-03-08","Poster size pre-disaster map of Al Hoceima city","Geodata of Poster size pre-disaster map of Al Hoceima city",NA,"http://www.disasterscharter.org/home","http://maps.unosat.org/MA/morocco_charter_spot5_overview_pre-disaster_al_hoceima_A1.zip",NA,NA,NA,NA,2,"A1 poster size pre-disaster map of Al Hoceima city derived from SPOT 5 satellite image acquired 13 September 2002. File to download is Zip-compressed .TIF file for quality poster size printouts.","ZIP",NA,NA,NA,NA,"geodata-of-poster-size-pre-disaster-map-of-al-hoceima-city","hdx-other","unosat","emergencymapping@unosat.org","unosat","emergencymapping@unosat.org","unosat",TRUE,NA,NA,NA,"Other","UNOSAT","hdx-other","un-operational-satellite-appplications-programme-unosat","mar","Complex Emergency","Other","geodata","shapefiles","geodatabase","home","morocco_charter_spot5_overview_pre-disaster_al_hoceima_A1.zip",NA,NA,NA,NA
"http://www.unitar.org/unosat/node/44/1649","Republic of the Congo","AC-2012-000035-COG","2012-03-16","Damage Assessment: Regiment Blindé Munitions Explosion, Mpila, Brazzaville, Congo","Geodata of Damage Assessment: Regiment Blindé Munitions Explosion, Mpila, Brazzaville, Congo","http://maps.unosat.org/CG/AC20120203COG/UNOSAT_COG_AC2012_DamageAssessment_v1.jpg","http://maps.unosat.org/CG/AC20120203COG/UNOSAT_COG_AC2012_DamageAssessment_v1.pdf","http://unosat-maps.web.cern.ch/unosat-maps/CG/AC20120203COG/Brazzaville_blast_19march2012_12.kmz","http://cernunosat05.cern.ch/UNOSAT/AC-2012-000035-COG/","http://cernunosat05.cern.ch/arcgis/services/COG/AC-2012-000035-COG_Damage_Assessment/MapServer/WMSServer",NA,NA,4,"This map illustrates the satellite-detected area affected by the Regiment Blindé Munitions explosion on 04 March 2012. Using a satellite image from 15 March 2012 a Primary Blast Zone with a diameter of 1.5 kilometers around the munitions storage facility was analyzed. Within this zone 1,558 buildings unobscured by clouds were examined, of which 62% were clearly identified as destroyed, 9% had severe damage visible, and 29% indicated no damage visible in the imagery. Cloudy conditions resulted in a total of 966 buildings being obscured, many of which are likely to destroyed or severely damaged. Additionally, a total of 152 destroyed or damaged buildings are visible around the periphery of the Primary Blast Zone. This map also includes the designated No-Go zone in the blast area. This is a preliminary analysis & has not yet been validated in the field. Please send ground feedback to UNITAR / UNOSAT.","KMZ",NA,NA,NA,NA,"geodata-of-damage-assessment-regiment-blindé-munitions-explosion-mpila-brazzaville-congo","hdx-other","unosat","emergencymapping@unosat.org","unosat","emergencymapping@unosat.org","unosat",TRUE,NA,NA,NA,"Other","UNOSAT","hdx-other","un-operational-satellite-appplications-programme-unosat","cog","Complex Emergency","AC-2012-000035-COG","geodata","shapefiles","geodatabase","UNOSAT_COG_AC2012_DamageAssessment_v1.pdf","unosat-maps/CG/AC20120203COG/Brazzaville_blast_19march2012_12.kmz","AC-2012-000035-COG/","AC-2012-000035-COG_Damage_Assessment/MapServer/WMSServer",NA,NA
"http://www.unitar.org/unosat/node/44/1672","Senegal","FL-2012-2208-SEN","2012-09-15","Flood Waters along Salown Delta, Kaolack City, Senegal","Geodata of Flood Waters along Salown Delta, Kaolack City, Senegal","http://maps.unosat.org/SN/FL22082012SEN/UNOSAT_A3_Kaolack_05092012.jpg","http://maps.unosat.org/SN/FL22082012SEN/UNOSAT_A3_Kaolack_05092012.pdf","http://unosat-maps.web.cern.ch/unosat-maps/SN/FL22082012SEN/FL20120822SEN.gdb.zip",NA,NA,NA,NA,2,"This map illustrates satellite-detected areas of standing water along the Salown Delta surrounding Kaolack city and in the Kaolack and Fatick provinces, Senegal. Analysis was conducted using WorldView-2 imagery acquired on 05 September 2012. Preflood water extent was provided by ESRI. There is no apparent flooding of urban areas in the city of Kaolack, The floods in this area appear to be contained within the flood plain of the delta, though roads may be potentially affected. This is a preliminary analysis & has not yet been validated in the field. Please send ground feedback to UNITAR / UNOSAT.","GDB",NA,NA,NA,NA,"geodata-of-flood-waters-along-salown-delta-kaolack-city-senegal","hdx-other","unosat","emergencymapping@unosat.org","unosat","emergencymapping@unosat.org","unosat",TRUE,NA,NA,NA,"Other","UNOSAT","hdx-other","un-operational-satellite-appplications-programme-unosat","sen","Complex Emergency","FL-2012-2208-SEN","geodata","shapefiles","geodatabase","UNOSAT_A3_Kaolack_05092012.pdf","unosat-maps/SN/FL22082012SEN/FL20120822SEN.gdb.zip",NA,NA,NA,NA
"http://www.unitar.org/unosat/node/44/1676","Algeria","FR-2012-0816-DZA","2012-09-21","Overview of wildfires in Northern Algeria","Geodata of Overview of wildfires in Northern Algeria","http://maps.unosat.org/DZ/FR20120816DZA/UNOSAT_A3_Overview_22082012_DZA_FR.jpg","http://maps.unosat.org/DZ/FR20120816DZA/UNOSAT_A3_Overview_22082012_DZA_FR.pdf","http://unosat-maps.web.cern.ch/unosat-maps/DZ/FR20120816DZA/UNOSAT_FR20120816DZA.gdb.zip",NA,NA,NA,NA,2,"This map illustrates satellite-detected areas of wildfires, in the northern provinces of Algeria, from DMCii imagery taken 22 August 2012. Starting in June 2012 numerous wildfires have burned pine and oak forests within northern Algeria, likely resulting from a heat wave. The wildfire burn scars cover and approximate area of 1,524 square km. Subset one details satellite detected fire scars south of Blinda city and north of Medea city. Subset two details fire scars detected north of Setif city. This is a preliminary analysis & has not yet been validated in the field. Please send ground feedback to UNITAR / UNOSAT.","GDB",NA,NA,NA,NA,"geodata-of-overview-of-wildfires-in-northern-algeria","hdx-other","unosat","emergencymapping@unosat.org","unosat","emergencymapping@unosat.org","unosat",TRUE,NA,NA,NA,"Other","UNOSAT","hdx-other","un-operational-satellite-appplications-programme-unosat","dza","Complex Emergency","FR-2012-0816-DZA","geodata","shapefiles","geodatabase","UNOSAT_A3_Overview_22082012_DZA_FR.pdf","unosat-maps/DZ/FR20120816DZA/UNOSAT_FR20120816DZA.gdb.zip",NA,NA,NA,NA
"http://www.unitar.org/unosat/node/44/1683","South Sudan","FL-2012-0924-SSD","2012-10-09","Jamam Two Refugee Camp, Maban County, Upper Nile State, South Sudan","Geodata of Jamam Two Refugee Camp, Maban County, Upper Nile State, South Sudan","http://maps.unosat.org/SS/FL20120924SSD/UNOSAT_JamamCamp_FL20120924SSD_v1.jpg","http://maps.unosat.org/SS/FL20120924SSD/UNOSAT_JamamCamp_FL20120924SSD_v1.pdf","http://unosat-maps.web.cern.ch/unosat-maps/SS/FL20120924SSD/jamamtwocamp_28sept2012.zip",NA,NA,NA,NA,2,"This map illustrates the Jamam Two refugee camp in Maban County of Upper Nile State in South Sudan, the site of recurring floods due to its proximity to nearby marshes. Using high-resolution optical satellite imagery a total of 5,781 shelters and 52 non-shelter structures were detected as of 28 September 2012. Most of the shelters appear to be located along the seasonal waterways. A primary dirt road crosses through the north of the camp and two secondary roads cross through the middle and south. This analysis has not yet been validated in the field. Please send ground feedback to UNITAR /UNOSAT.","ZIP",NA,NA,NA,NA,"geodata-of-jamam-two-refugee-camp-maban-county-upper-nile-state-south-sudan","hdx-other","unosat","emergencymapping@unosat.org","unosat","emergencymapping@unosat.org","unosat",TRUE,NA,NA,NA,"Other","UNOSAT","hdx-other","un-operational-satellite-appplications-programme-unosat","sdn","Complex Emergency","FL-2012-0924-SSD","geodata","shapefiles","geodatabase","UNOSAT_JamamCamp_FL20120924SSD_v1.pdf","unosat-maps/SS/FL20120924SSD/jamamtwocamp_28sept2012.zip",NA,NA,NA,NA
"http://www.unitar.org/unosat/node/44/1684","South Sudan","FL-2012-0924-SSD","2012-10-09","Gendrasa Refugee Camp, Maban County, Upper Nile State, South Sudan","Geodata of Gendrasa Refugee Camp, Maban County, Upper Nile State, South Sudan","http://maps.unosat.org/SS/FL20120924SSD/UNOSAT_GendrasaCamp_FL20120924SSD_v2.jpg","http://maps.unosat.org/SS/FL20120924SSD/UNOSAT_GendrasaCamp_FL20120924SSD_v2.pdf","http://unosat-maps.web.cern.ch/unosat-maps/SS/FL20120924SSD/gendrasacamp_3oct2012.zip",NA,NA,NA,NA,2,"This map illustrates the Gendrasa refugee camp in Maban County of Upper Nile State in South Sudan, the site of recurring floods due to its proximity to nearby marshes. Using a combination of high-resolution optical satellite imagery a total of 4,334 shelters and 187 non-shelter structures were detected as of 3 October 2012. This is a 370% increase in size since a previous analysis of the 5 August 2012 when there were 1,167 shelters and 25 non-shelter structures, and standing water can now be seen around the camp. This analysis has not yet been validated in the field. Please send ground feedback to UNITAR /UNOSAT.","ZIP",NA,NA,NA,NA,"geodata-of-gendrasa-refugee-camp-maban-county-upper-nile-state-south-sudan","hdx-other","unosat","emergencymapping@unosat.org","unosat","emergencymapping@unosat.org","unosat",TRUE,NA,NA,NA,"Other","UNOSAT","hdx-other","un-operational-satellite-appplications-programme-unosat","sdn","Complex Emergency","FL-2012-0924-SSD","geodata","shapefiles","geodatabase","UNOSAT_GendrasaCamp_FL20120924SSD_v2.pdf","unosat-maps/SS/FL20120924SSD/gendrasacamp_3oct2012.zip",NA,NA,NA,NA
"http://www.unitar.org/unosat/node/44/1685","South Sudan","FL-2012-0924-SSD","2012-10-09","Doro Refugee Camp, Maban County, Upper Nile State, South Sudan","Geodata of Doro Refugee Camp, Maban County, Upper Nile State, South Sudan","http://maps.unosat.org/SS/FL20120924SSD/UNOSAT_DoroCamp_FL20120924SSD_v1b.jpg","http://maps.unosat.org/SS/FL20120924SSD/UNOSAT_DoroCamp_FL20120924SSD_v1b.pdf","http://unosat-maps.web.cern.ch/unosat-maps/SS/FL20120924SSD/dorocamp_4oct2012.zip",NA,NA,NA,NA,2,"This map illustrates the Doro refugee camp in Maban County of Upper Nile State in South Sudan, the site of recurring floods due to its proximity to nearby marshes. Using a combination of high-resolution optical satellite imagery a total of 8,125 shelters and 264 non-shelter structures were detected as of 22 August 2012. The camp does not appear to have significantly changed between the 22nd August and 4 of October 2012 however what appears to be seasonal water has appeared to the south of the camp near the airport. This analysis has not yet been validated in the field. Please send ground feedback to UNITAR /UNOSAT.","ZIP",NA,NA,NA,NA,"geodata-of-doro-refugee-camp-maban-county-upper-nile-state-south-sudan","hdx-other","unosat","emergencymapping@unosat.org","unosat","emergencymapping@unosat.org","unosat",TRUE,NA,NA,NA,"Other","UNOSAT","hdx-other","un-operational-satellite-appplications-programme-unosat","sdn","Complex Emergency","FL-2012-0924-SSD","geodata","shapefiles","geodatabase","UNOSAT_DoroCamp_FL20120924SSD_v1b.pdf","unosat-maps/SS/FL20120924SSD/dorocamp_4oct2012.zip",NA,NA,NA,NA
"http://www.unitar.org/unosat/node/44/1686","South Sudan","FL-2012-0924-SSD","2012-10-09","Batil Refugee Camp, Maban County, Upper Nile State, South Sudan","Geodata of Batil Refugee Camp, Maban County, Upper Nile State, South Sudan","http://maps.unosat.org/SS/FL20120924SSD/UNOSAT_BatilCamp_FL20120924SSD_v1.jpg","http://maps.unosat.org/SS/FL20120924SSD/UNOSAT_BatilCamp_FL20120924SSD_v1.pdf","http://unosat-maps.web.cern.ch/unosat-maps/SS/FL20120924SSD/batilcamp_5aug2012.zip",NA,NA,NA,NA,2,"This map illustrates the Batil refugee camp in Maban County of Upper Nile State in South Sudan. The Batil camp was largely constructed between May and August of 2012 and is the site of recurring floods due to its proximity to nearby marshes. Using a combination of high-resolution optical satellite imagery a total of 6,957 shelters were detected as of 5 August 2012. In addition 204 non-shelter structures were detected, including a likely market area and camp support facilities. A primary dirt road borders the camp to the northeast, while secondary dirt roads are present within the camp as well. Notably, the large majority of shelters are likely accessible only on foot and many shelters are situated as much as 1.5 kilometers away from the secondary roads. This analysis has not yet been validated in the field. Please send ground feedback to UNITAR /UNOSAT.","ZIP",NA,NA,NA,NA,"geodata-of-batil-refugee-camp-maban-county-upper-nile-state-south-sudan","hdx-other","unosat","emergencymapping@unosat.org","unosat","emergencymapping@unosat.org","unosat",TRUE,NA,NA,NA,"Other","UNOSAT","hdx-other","un-operational-satellite-appplications-programme-unosat","sdn","Complex Emergency","FL-2012-0924-SSD","geodata","shapefiles","geodatabase","UNOSAT_BatilCamp_FL20120924SSD_v1.pdf","unosat-maps/SS/FL20120924SSD/batilcamp_5aug2012.zip",NA,NA,NA,NA
